# {"dataType":"PPG",
# "sensor":"MAX30102",
# "hardware":"LPC824_MAX30102",
# "firmware":"0.1",
# "sampling_rate":100,
# "subject":"JD",
# "timestamp":"2017-07-23T22:50",
# "sensorLocations":["left hand thumb","right foot toe 5"] }
1500850213.711450 29514335 0 2529343 2819639 8 96
1500850213.717551 29520431 1 2275693 3103421 -15 24
1500850213.718759 29521468 0 2529371 2819635 34 87
1500850213.725483 29528602 0 2529332 2819643 -4 90
1500850213.727611 29530770 1 2275732 3103441 23 42
1500850213.732589 29535735 0 2529329 2819670 -6 110
1500850213.737677 29540999 1 2275701 3103434 -7 33
1500850213.739646 29542868 0 2529345 2819660 10 94
1500850213.746825 29550002 0 2529351 2819660 15 89
1500850213.748011 29551539 1 2275709 3103448 1 45
1500850213.753807 29557135 0 2529352 2819695 15 117
1500850213.757938 29561461 1 2275718 3103444 10 39
1500850213.760924 29564269 0 2529338 2819721 1 135
1500850213.768069 29571402 0 2529380 2819715 41 121
1500850213.769390 29572961 1 2275711 3103415 3 10
1500850213.775155 29578536 0 2529338 2819714 0 113
1500850213.778427 29581922 1 2275713 3103441 5 34
1500850213.782367 29585670 0 2529349 2819737 11 128
1500850213.788778 29592043 1 2275718 3103445 10 36
1500850213.790217 29592804 0 2529376 2819741 36 124
1500850213.796537 29599937 0 2529343 2819758 3 133
1500850213.798803 29602382 1 2275711 3103454 3 43
1500850213.803922 29607071 0 2529341 2819768 1 135
1500850213.808908 29612612 1 2275722 3103454 14 41
1500850213.810551 29614204 0 2529366 2819785 25 143
1500850213.817907 29621338 0 2529358 2819806 16 154
1500850213.819150 29622894 1 2275726 3103470 17 54
1500850213.824915 29628471 0 2529380 2819824 36 162
1500850213.829347 29632962 1 2275716 3103445 7 28
1500850213.832146 29635604 0 2529365 2819862 20 188
1500850213.839247 29642737 0 2529387 2819885 40 198
1500850213.840543 29644297 1 2275722 3103463 13 44
1500850213.846340 29649870 0 2529383 2819887 34 188
1500850213.849594 29653530 1 2275715 3103459 6 38
1500850213.853532 29657003 0 2529389 2819931 38 218
1500850213.859969 29663760 1 2275703 3103449 -5 27
1500850213.861414 29664136 0 2529393 2819917 40 192
1500850213.867534 29671269 0 2529419 2819988 62 247
1500850213.870076 29673990 1 2275708 3103466 0 42
1500850213.874690 29678403 0 2529415 2819995 55 239
1500850213.880227 29684220 1 2275710 3103475 2 48
1500850213.881948 29685536 0 2529443 2820000 78 229
1500850213.888878 29692669 0 2529451 2820051 81 263
1500850213.890530 29694451 1 2275723 3103475 15 45
1500850213.896013 29699802 0 2529432 2820050 59 246
1500850213.900724 29704571 1 2275718 3103451 10 20
1500850213.903174 29706935 0 2529449 2820069 72 249
1500850213.910193 29714068 0 2529431 2820057 51 223
1500850213.911511 29715625 1 2275728 3103481 19 47
1500850213.917338 29721202 0 2529426 2820098 44 248
1500850213.920994 29725029 1 2275722 3103476 13 40
1500850213.924318 29728335 0 2529437 2820100 52 235
1500850213.931441 29735368 1 2275711 3103467 2 30
1500850213.932617 29735468 0 2529448 2820083 60 205
1500850213.938945 29742602 0 2529434 2820098 44 207
1500850213.941588 29745597 1 2275703 3103484 -5 45
1500850213.945767 29749735 0 2529444 2820135 51 229
1500850213.951608 29755827 1 2275704 3103501 -3 59
1500850213.953349 29756868 0 2529461 2820126 64 207
1500850213.960099 29764001 0 2529444 2820133 45 201
1500850213.961831 29766055 1 2275732 3103492 24 47
1500850213.966939 29771134 0 2529450 2820142 48 197
1500850213.972011 29776175 1 2275709 3103491 1 44
1500850213.974307 29778267 0 2529455 2820139 50 182
1500850213.981331 29785400 0 2529432 2820118 26 151
1500850213.982658 29786404 1 2275730 3103537 21 85
1500850213.988304 29792533 0 2529439 2820141 31 164
1500850213.992497 29796743 1 2275728 3103531 18 75
1500850213.995439 29799667 0 2529440 2820173 30 184
1500850214.002776 29806800 0 2529488 2820184 74 183
